name,type,period_start,period_end,commits,commit_ratio,added_lines,added_lines_ratio,deleted_lines,deleted_lines_ratio,add_minus_del,add_minus_del_ratio,contributors,contributor_ratio,files,files_ratio
https://github.com/ec-cube/ec-cube2,overall,2025-06-10T07:55:57+00:00,2026-02-22T13:01:43.387426+00:00,147,80.272,15359,96.048,7281,93.27,8078,98.552,4,75.0,170,70.588
https://github.com/Edwardvaneechoud/Flowfile,overall,2025-12-28T13:57:51+00:00,2026-02-23T15:05:55.607664+00:00,151,82.781,158399,72.42,45981,56.567,112418,78.905,2,50.0,818,72.249
https://github.com/elitan/iop,overall,2026-01-05T13:42:37+00:00,2026-02-22T12:21:50.493921+00:00,286,83.217,58088,96.399,13850,97.227,44238,96.139,2,50.0,885,99.548
https://github.com/elitan/lightform,overall,2026-01-05T13:42:37+00:00,2026-02-23T14:38:40.863447+00:00,287,82.927,58107,96.367,13867,97.108,44240,96.135,2,50.0,885,99.548
https://github.com/elitan/luma,overall,2026-01-05T13:42:37+00:00,2026-02-21T12:29:31.256015+00:00,286,83.217,58088,96.399,13850,97.227,44238,96.139,2,50.0,885,99.548
https://github.com/embiimob/Sup,overall,2025-12-07T05:31:36+00:00,2026-02-21T21:27:33.078848+00:00,128,78.906,213581,4.241,411581,49.463,-198000,98.245,3,33.333,77,94.805
https://github.com/EpiAware/CensoredDistributions.jl,overall,2025-07-05T08:22:52+00:00,2026-02-21T07:41:14.228088+00:00,100,76.0,15640,83.459,3936,89.66,11704,81.374,8,50.0,129,89.922
https://github.com/ericbuess/claude-code-docs,overall,2025-07-09T14:15:29+00:00,2026-02-21T16:05:52.474398+00:00,117,79.487,16060,92.024,7811,82.806,8249,100.752,7,57.143,114,71.053
https://github.com/ETBlue/gw2inventory,overall,2025-07-31T13:30:45+00:00,2026-02-20T21:52:16.089837+00:00,341,81.818,51747,74.984,48818,25.359,2929,902.083,2,50.0,303,84.158
https://github.com/EvanTechDev/One-Calendar,overall,2026-02-04T07:31:06+00:00,2026-02-23T13:13:28.893527+00:00,168,83.929,35522,60.74,16850,89.424,18672,34.854,1,100.0,244,98.361
https://github.com/evmts/Guillotine,overall,2025-07-10T12:50:06+00:00,2026-02-23T05:41:43.850899+00:00,3428,87.952,6772565,97.601,1358745,76.443,5413820,102.912,9,55.556,11498,98.435
https://github.com/EvotecIT/DesktopManager,overall,2025-06-17T15:08:58+00:00,2026-02-23T12:22:46.008093+00:00,208,82.692,19147,79.825,3337,62.212,15810,83.542,4,50.0,311,84.566
https://github.com/EvotecIT/DnsClientX,overall,2025-05-22T06:29:53+00:00,2026-02-21T03:35:33.409714+00:00,636,78.459,33102,66.075,8191,61.824,24911,67.472,3,100.0,390,84.615
https://github.com/evotecit/imageplayground,overall,2025-06-16T09:17:48+00:00,2026-02-21T09:08:11.124897+00:00,233,91.845,26035,97.734,12145,69.172,13890,122.707,3,66.667,368,98.098
https://github.com/EvotecIT/Mailozaurr,overall,2025-06-06T11:32:40+00:00,2026-02-22T06:11:46.093656+00:00,630,86.032,84292,81.914,30203,62.944,54089,92.507,2,100.0,786,94.656
https://github.com/EvotecIT/VirusTotalAnalyzer,overall,2025-08-06T20:18:24+00:00,2026-02-21T19:54:46.180076+00:00,163,88.344,26529,87.957,8019,71.929,18510,94.9,2,50.0,286,97.902
https://github.com/exa-networks/exabgp,overall,2025-11-06T13:56:15+00:00,2026-02-23T00:48:57.711194+00:00,952,97.899,322709,99.58,143293,98.336,179416,100.574,7,42.857,1696,99.233
https://github.com/exercism/website,overall,2025-08-21T14:27:45+00:00,2026-02-21T18:45:02.941046+00:00,137,89.781,10104,66.637,8451,28.056,1653,263.884,5,40.0,617,44.246
https://github.com/fabian-beck/pure-suggest,overall,2025-08-02T16:56:45+00:00,2026-02-21T10:37:41.823292+00:00,432,88.657,62227,98.285,31508,94.731,30719,101.93,4,50.0,222,99.55
https://github.com/failgood/failgood,overall,2025-05-13T10:32:16+00:00,2026-02-22T08:40:19.764352+00:00,64,75.0,72207,99.765,1118,89.893,71089,99.92,2,50.0,163,90.798
https://github.com/ffrgo/pairgoth,overall,2025-01-19T18:15:34+00:00,2026-02-22T06:40:16.791799+00:00,59,86.441,23319,15.931,20438,4.252,2881,98.785,3,33.333,83,85.542
https://github.com/fglock/PerlOnJava,overall,2026-02-04T17:25:58+00:00,2026-02-21T21:41:09.864913+00:00,354,80.226,63932,83.301,24071,81.33,39861,84.491,3,33.333,783,26.82
https://github.com/FinAegis/core-banking-prototype-laravel,overall,2025-06-03T12:38:34+00:00,2026-02-22T06:46:31.666561+00:00,1025,86.732,1154740,93.121,340881,80.111,813859,98.57,5,60.0,5054,98.932
https://github.com/FoundryMC/Veil,overall,2025-01-02T22:22:41+00:00,2026-02-22T03:01:41.416148+00:00,382,92.932,42153,96.245,35317,97.735,6836,88.546,11,27.273,924,99.026
https://github.com/freenet/river,overall,2025-01-09T19:35:56+00:00,2026-02-21T04:42:57.033810+00:00,1460,77.671,219203,89.139,176407,9.156,42796,418.831,10,60.0,623,92.135
https://github.com/freshtechbro/Vibe-Coder-MCP,overall,2025-07-03T03:21:51+00:00,2026-02-21T20:00:23.479438+00:00,78,79.487,157100,98.754,18112,78.23,138988,101.429,2,100.0,606,99.34
https://github.com/generalbots/botserver,overall,2026-02-09T15:10:27+00:00,2026-02-23T11:20:14.126978+00:00,52,82.692,50314,98.617,39736,97.433,10578,103.063,1,100.0,514,99.027
https://github.com/gentleeduck/duck-ui,overall,2026-02-12T20:19:08+00:00,2026-02-21T14:10:39.398359+00:00,109,77.064,79529,67.8,114805,42.694,-35276,-13.907,3,33.333,1709,53.657
https://github.com/gentleeduck/ui,overall,2026-02-12T20:19:08+00:00,2026-02-21T01:36:06.474922+00:00,109,77.064,79529,67.8,114805,42.694,-35276,-13.907,3,33.333,1709,53.657
https://github.com/ghost-ng/slinger,overall,2025-07-12T13:45:27+00:00,2026-02-21T08:23:52.391118+00:00,125,84.0,64236,89.275,35256,61.723,28980,122.795,1,100.0,146,89.041
